Model,R2_log,MAE_log,RMSE_log,R2_Actual,MAE_Actual,RMSE_Actual
Linear Regression,0.8525002512849711,0.18377906555464674,0.23143234903992577,0.7274663667464889,11238.582591405624,17083.021794268072
Random Forest Regressor,0.8758271121904164,0.1631672186189614,0.2123448898046536,0.7839156084534689,9952.402942306648,15211.300317971753
Gradient Boost Regressor,0.8952607309303339,0.15119226908977113,0.19502181441991157,0.7985172340319482,9452.124601346231,14688.369668634365
Tuned Gradient Boost,0.8983356737760778,0.14979551393505522,0.19213775705826802,0.8165080203033845,9335.142181480098,14017.261812206889
